file_name,ground_truth,text_length,aws_transcribe,whisper_base,whisper_large,whisper_medium,best_cer,worst_cer,cer_spread,best_models,worst_models,transcript_aws_transcribe,transcript_whisper_base,transcript_whisper_large,transcript_whisper_medium
f36b986b12055500f555156b9b01f99b.wav,정말? 한번 가봐야겠다. 알려 줘서 고마워!,24,0.0,0.7567567567567568,0.0,0.0,0.0,0.7567567567567568,0.7567567567567568,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,정말 한번 가봐야겠다. 알려줘서 고마워, 정말 한 번 가봐야겠다 이제 I will just go for I'm out of power, 정말 한번 가봐야겠다. 알려줘서 고마워., 정말? 한번 가봐야겠다. 알려줘서 고마워.
2d424a7848edb3fa7f46502457e4df5a.wav,배드민턴은 왜 이름이 배드민턴이 됐을까요?,23,0.0,0.7407407407407407,0.0,0.0,0.0,0.7407407407407407,0.7407407407407407,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,배드민턴은 왜 이름이 배드민턴이 됐을까요?, BAD MINTER은 왜 이름이 BAD MINTER이 될까요?, 배드민턴은 왜 이름이 배드민턴이 됐을까요?, 배드민턴은 왜 이름이 배드민턴이 됐을까요?
52be6d352d89a498cb163f9d909a2985.wav,미디엄 웰던으로 부탁할게요.,15,0.0,0.2307692307692307,0.6666666666666666,0.0833333333333333,0.0,0.6666666666666666,0.6666666666666666,AWS Transcribe,Whisper large,미디엄 웰던으로 부탁할게요., 이디엄웨일던으로 부탁할게요, Medium Well Done으로 부탁할게요., 이디엄웰던으로 부탁할게요.
7d3ce5f0cfb8662b9d6b1719a362390b.wav,그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다.,32,0.0434782608695652,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,"Whisper medium, Whisper large",Whisper base,뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다., 그 뉴스 보드에는 이 정도로 넓은 자리를 후inctions 영상 inclusiveINAUDIBLE, 그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다., 그 뉴스 보도에는 이 정도로 넓은 자리를 할애해야 합니다.
6a866c01a75c5b29b9d4d27c103ff3ea.wav,부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요.,40,0.0,0.6515151515151515,0.0,0.0,0.0,0.6515151515151515,0.6515151515151515,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요., 부어 캐소의 시키세척기의 도래는 집안에서의 청결을 개선시키는데 연구aires 보은 방introdu Fine에서의 연구고가 에 messaging, 부엌에서의 식기세척기의 도래는 집 안에서의 청결을 개선시키는데 기여했어요., 부엌에서의 식기세척기의 도래는 집안에서의 청결을 개선시키는데 기여했어요.
cd391a7f50b012226d9abf8c3ce765e9.wav,씁쓸한 도식은 씁쓸한 일상을 낳아.,19,0.2142857142857142,0.6428571428571429,0.0,0.1428571428571428,0.0,0.6428571428571429,0.6428571428571429,Whisper large,Whisper base,씁쓸한 도시 근씁쓸한 일상을 나아, 습스란 도시근 습스란 일상을 아, 씁쓸한 도식은 씁쓸한 일상을 낳아., 씁쓸한 도식은 씁쓸한 일상을 나
855e1d730c5e238a183bbfb528ac9309.wav,실제 몇몇 입주한 잘나가던 벤처기업이 보따리를 쌌다.,29,0.0454545454545454,0.625,0.0,0.0,0.0,0.625,0.625,"Whisper medium, Whisper large",Whisper base,실제 몇몇 입주한 잘 나가던 벤처기업보따리를 쌌다., 실제 몇 년 입주한 잘나가던 벤척이어기 Councillor 고건 이�YN, 실제 몇몇 입주한 잘나가던 벤처기업이 보따리를 쌌다., 실제 몇몇 입주한 잘 나가던 벤처기업이 보따리를 쌌다.
21b38f0e12eb7f7f887f4fdf381859db.wav,그것은 카운터 웨이트일 때만 가능하니 벌크로 카운터 웨이트를 세팅해.,38,0.1724137931034483,0.6046511627906976,0.0,0.0,0.0,0.6046511627906976,0.6046511627906976,"Whisper medium, Whisper large",Whisper base,그것은 카운터트일 때만 가능하니 벌 크로카운터를 세팅해., 그것은 Counterweight일 때만 가능하니 벌크로 Counterweight를 세팅해, 그것은 카운터 웨이트일 때만 가능하니 벌크로 카운터 웨이트를 세팅해," 그것은 카운터 웨이트일 때만 가능하니, 벌크로 카운터 웨이트를 세팅해."
f7c0870a38033d6d2f1f360545c4e682.wav,저는 그 차량의 뒷좌석에 앉았어요.,19,0.0,0.5714285714285714,0.2142857142857142,0.0714285714285714,0.0,0.5714285714285714,0.5714285714285714,AWS Transcribe,Whisper base,저는 그 차량의 뒷좌석에 앉았어요., 그 차량에 빛자석이 안 갔어요, 저는 그 차량에 빗자석에 앉았어요., 저는 그 차량에 뒷좌석에 앉았어요.
11850f8cb87ba26572b6dfe22d4d41f4.wav,나 어제 잠을 늦게 자서 낮잠을 자야겠어.,23,0.0625,0.55,0.0625,0.0,0.0,0.55,0.55,Whisper medium,Whisper base,어제 잠을 늦게 자서 낮잠을 자야겠어, 아 어제 잠을 늦게 자서 여자가 자 ngày cel, 아 어제 잠을 늦게 자서 낮잠을 자야겠어, 나 어제 잠을 늦게 자서 낮잠을 자야겠어
ed16ddcf334208547f60508fadb926d0.wav,퓨리토 센텔라 그린레벨 뷔페 세럼과 섞어서 사용하시면 더욱더 효과적입니다.,41,0.2285714285714285,0.6086956521739131,0.09375,0.0625,0.0625,0.6086956521739131,0.5461956521739131,Whisper medium,Whisper base,우리 KYU산텔라 그린레벨뷔페새로운 과 섞어서 사용하시면 더욱 더 효과적입니다., 3Q Santella Green Level BPS Serum과 섞어서 사용하시면 더욱 더 효과적입니다., 투리토 산텔라 그린레벨 비페 세럼과 섞어서 사용하시면 더욱 더 효과적입니다., 퓨리토 산텔라 그린레벨 비페 세럼과 섞어서 사용하시면 더욱 더 효과적입니다.
21a35084a6fd2977a1981d8b11cf5366.wav,두 좌석 사이의 공간이 넓습니다.,18,0.0769230769230769,0.5384615384615384,0.0,0.0,0.0,0.5384615384615384,0.5384615384615384,"Whisper medium, Whisper large",Whisper base,좌석 사이의 공간이 넓습니다., 2주 6석 4일 공간이 널습니다., 두 좌석 사이의 공간이 넓습니다., 두 좌석 사이의 공간이 넓습니다.
b387e44eaee6e678ea0091c6f285663c.wav,네팔인은 나마스떼라고 말하며 양손을 머리에 얹고 허리 굽혀 인사해요.,38,0.2413793103448276,0.7037037037037037,0.34375,0.1724137931034483,0.1724137931034483,0.7037037037037037,0.5312899106002554,Whisper medium,Whisper base,네 파리는 남아 쓸 때 라고 말하며 양손을 머리에 얹고 허리 굽혀 인사해요., 에파리는 남아시대라고 말하며 양손을 머리에 옮고 허리 두표 인사 에파리는 남아시대라고 말하며 양손을 머리에 옮고 허리 두표 인사, 메파리는 namaste라고 말하며 양손을 머리에 얹고 허리 굽혀 인사해요., 메파리는 나마스테라고 말하며 양손을 머리에 얹고 허리 굽혀 인사해요.
7f3d35a0197551a96665f8284ee52d5f.wav,갠드크랩 랜섬웨어를 이용하는 신규 공격 그룹이 포착됐다.,31,0.0,0.5294117647058824,0.0,0.0,0.0,0.5294117647058824,0.5294117647058824,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,갠드크랩 랜섬웨어를 이용하는 신규 공격 그룹이 포착됐다., GEND CREP LENSER MARE를 이용하는 신규 공격 그룹이 포착됐다., 갠드크랩 랜섬웨어를 이용하는 신규 공격 그룹이 포착됐다., 갠드크랩 랜섬웨어를 이용하는 신규 공격 그룹이 포착됐다.
5abc52cb49ab074949a3f68579fffad6.wav,그들은 음식을 먹을 돈이 충분치 않아 굶어 죽을 수도 있습니다.,35,0.0769230769230769,0.5769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.5769230769230769,0.5,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,그들은 음식을 먹을 돈이 충분하지 않아 굶어 죽을 수도 있습니다., 그대로 음식을 먹을 뿐이 충분하지 않아 말� además는, 그들은 음식을 먹을 돈이 충분하지 않아 굶어 죽을 수도 있습니다., 그들은 음식을 먹을 돈이 충분하지 않아 굶어 죽을 수도 있습니다.
e3d356f221bbc249c9246eb64ded2c14.wav,스퀘어 스톤은 비싸기 때문일 것이에요.,21,0.0,0.2352941176470588,0.5,0.0,0.0,0.5,0.5,"AWS Transcribe, Whisper medium",Whisper large,스퀘어스톤은 비싸기 때문일 것이에요., 스케어 스토어는 비싸기 때문일 것이에요., Square Stone은 비싸기 때문일 것이에요., 스퀘어 스톤은 비싸기 때문일 것이에요.
a3677ee472e119662c6d07c3090bd3e7.wav,너의 어머니와 부엌에 대해 의논 잘했어.,22,0.0625,0.5,0.0,0.0625,0.0,0.5,0.5,Whisper large,Whisper base,거의 어머니와 부엌에 대해 의논잘했어., 어이 어머니와 부어캐데이 은원 잘했어, 너의 어머니와 부엌에 대해 의논 잘했어., 너희 어머니와 부엌에 대해 의논 잘했어.
837d484e8fa5518a134a75203f59e7b9.wav,브로드웨이 공연은 어땠어요?,15,0.0,0.5,0.0,0.0,0.0,0.5,0.5,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,브로드웨이공연은 어땠어요?, Pro2way 공연은 어땠어요?, 브로드웨이 공연은 어땠어요?, 브로드웨이 공연은 어땠어요?
61f350df5649b74f2ff9d12a2302f2ba.wav,원자력 안전 분야 최고 의사결정기구인 원안위에 구멍이 뻥뻥 뚫려있다.,38,0.0,0.5,0.0,0.0,0.0,0.5,0.5,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,원자력안전분야 최고 의사결정기구인 원안위에 구멍이 뻥뻥뚫려 있다., 원자력 안전분야 최고 의사 결정기구인 원한위에 구멍이 뻥뻥 뚫려 있던 원자력 안전분야 최고 의사 결정기구인 원한위에 구멍이 뻥뻥, 원자력 안전 분야 최고 의사결정 기구인 원안 위에 구멍이 뻥뻥 뚫려 있다., 원자력 안전 분야 최고의사결정기구인 원안 위에 구멍이 뻥뻥 뚫려 있다.
51bc0289ee46bd5b160cdac42d0a5b9e.wav,혹시 쟤. 김해리 아니야? 김해리 맞지?,22,0.2857142857142857,0.5,0.1428571428571428,0.0,0.0,0.5,0.5,Whisper medium,Whisper base,혹시 제 김혜리 아니야? 김혜리 많지?, 혹시 제 김혜의 아냐? 김혜이 맞지?, 혹시 쟤 김혜리 아니야? 김혜리 맞지?, 혹시 쟤 김해리 아니야? 김해리 맞지?
c69d164c6fcb85e30aa950a407b99a16.wav,자원과 생태계를 보전하고 재생시키기 위해 선형계보다 폐회로가 전형적으로 사용된다.,45,0.1666666666666666,0.5,0.6630434782608695,0.2222222222222222,0.1666666666666666,0.6630434782608695,0.4963768115942029,AWS Transcribe,Whisper large,자원과 생태계를 보전하고 재생시키기 위해 선형게 보다 폐회로가 선형적으로 저녁, 아원과 생태계를 보전하고 재생시키기 위해 선영개보다 폐회로가 선영적으로 선영 아원과 생태계를 보전하고 재생시키기 위해 선영, 아원과 생태계를 보전하고 재생시키기 위해 선형계보다 폐회로가 선형적으로 더 판동하는 카드가 사 intellectually lowered. 이� Herbert Johnson Karen мне같은 카드 갈 수, 과원과 생태계를 보전하고 재생시키기 위해 선영계보다 폐회로가 선영적으로 전역...
f189ef1b1a7bd2b51844ac717184ba39.wav,장원준이 주춤했지만 불펜에서 선발 전환한 이용찬이 제몫을 해줬다.,36,0.0,0.4761904761904761,0.0714285714285714,0.0357142857142857,0.0,0.4761904761904761,0.4761904761904761,AWS Transcribe,Whisper base,장원준이 주춤했지만 불펜에서 선발전환한 이용찬이 제 몫을 해줬다., 장원준이 주춤했지만 불편에서 선발 전환한 이용찬이 제목ungs wahrscheinlich, 장원준이 주춤했지만 불펜에서 선발전환한 이용찬이 제목쓸해줬다.," 장원준이 주춤했지만, 불펜에서 선발 전환한 이용찬이 제목을 해줬다."
7b484f96f27c49a665150ba8258e8818.wav,식당은 동춘동 스퀘어원 지하에 있습니다.,22,0.0,0.4705882352941176,0.0,0.0,0.0,0.4705882352941176,0.4705882352941176,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,식당은 동춘동 스퀘어원 지하에 있습니다., 동춘동 스페어 1Gi 있습니다., 식당은 동춘동 스퀘어원 지하에 있습니다., 식당은 동춘동 스퀘어원 지하에 있습니다.
c041154ee93fdfa60ca48958e4cd92ef.wav,그냥 싫은 건 싫다고 말 해.,16,0.0,0.4545454545454545,0.0,0.0,0.0,0.4545454545454545,0.4545454545454545,"AWS Transcribe, Whisper medium, Whisper large",Whisper base,그냥 싫은 건 싫다고 말해, 그냥 실현건 실탄하고 말해, 그냥 싫은 건 싫다고 말해., 그냥 싫은건 싫다고 말해
58a9f7b0c1555a0a6238165220c66b95.wav,이 소프트웨어는 이 사이트에서 다운로드받으시면 됩니다.,30,0.0416666666666666,0.4482758620689655,0.0416666666666666,0.0,0.0,0.4482758620689655,0.4482758620689655,Whisper medium,Whisper base,소프트웨어 는 이 사이트에서 다운로드 받으시면 됩니다., heatsoft air는 미사이트에서 다음 로드 받으시면 됩니다., 이 소프트웨어는 미 사이트에서 다운로드 받으시면 됩니다., 이 소프트웨어는 이 사이트에서 다운로드 받으시면 됩니다.
a61550b4bbe8616b66bee154206b8bf1.wav,사립유치원 회계를 국가지원회계와 일반회계로 분리하는 것이 골자다.,36,0.0,0.4482758620689655,0.1034482758620689,0.1034482758620689,0.0,0.4482758620689655,0.4482758620689655,AWS Transcribe,Whisper base,사립유치원 회계를 국가 지원 회계와 일반회계로 분리하는 것이 골자다., 파림류치원 해결을 국가지원 해결과 일반 해결을 분리하는 것이 골짜다., 차림유치원 회계를 국가지원회계와 일반회계로 분리하는 것이 골짜다., 8임 유치원 회계를 국가지원 회계와 일반 회계로 분리하는 것이 골짜다.
edd9d0a3bb0b4cc1e7fa79bdd768be70.wav,화면 밝기 설정에서 밝기를 조정합니다.,21,0.1875,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,"Whisper medium, Whisper large",Whisper base,화면 밝기설정 에서 발길을 조정합니다., 3연 바이키 설정에서 바이키를 조정합니다., 화면 밝기 설정에서 밝기를 조정합니다., 화면 밝기 설정에서 밝기를 조정합니다.
2100d229671e6662b49e7e982540857f.wav,그 사이 오재일이 홈을 밟아 선취점을 올렸다.,25,0.0,0.4444444444444444,0.0,0.0555555555555555,0.0,0.4444444444444444,0.4444444444444444,"AWS Transcribe, Whisper large",Whisper base,그 사이 오재일이 홈을 밟아 선취점을 올렸다., 그 사이 5J1이 호물 밸바 선치점을 올렸다, 그 사이 오재일이 홈을 밟아 선취점을 올렸다., 그사이 오제일이 홈을 밟아 선취점을 올렸다.
77144a3af5707160f2dc44210f67eb98.wav,물에 젖어 찢어진 지폐도 바꿔 주나요?,21,0.1333333333333333,0.4375,0.0,0.0,0.0,0.4375,0.4375,"Whisper medium, Whisper large",Whisper base,물에 젖어 찢어진 집회도 바꿔주나요., 브레이저저 찢어진 집회도 바꿔주나요, 물에 젖어 찢어진 지폐도 바꿔주나요?, 물에 젖어 찢어진 지폐도 바꿔주나요?
65fa6a4ebdf0ceb0493164f35375f47b.wav,웹페이지는 현재 개편 중입니다.,17,0.0769230769230769,0.4375,0.0,0.0,0.0,0.4375,0.4375,"Whisper medium, Whisper large",Whisper base,페이지 는 현재 개편중입니다., web page는 현재 개편 중입니다., 웹페이지는 현재 개편 중입니다., 웹페이지는 현재 개편 중입니다.
